Set,X,Y
1,100,1.41493392740905e-05
1,150,1.41993350407459e-05
1,250,1.42583745153822e-05
1,157.294901687516,1.4204356803558e-05
1,192.705098312484,1.42264720327873e-05
1,192.705098312484,1.42264720292053e-05
1,214.589803375032,1.42390249103882e-05
1,214.589803375032,1.42390249081794e-05
1,228.115294937453,1.42465283847368e-05
1,228.115294937453,1.42465283842794e-05
1,236.474508437579,1.4251091232086e-05
1,236.474508437579,1.42510912319698e-05
1,241.640786499874,1.42538867120168e-05
1,241.640786499874,1.42538867160334e-05
1,244.833721937705,1.42556058320607e-05
1,244.833721937705,1.4255605832351e-05
1,246.807064562169,1.42566652442197e-05
1,246.807064562169,1.42566652455081e-05
1,248.026657375536,1.42573188316762e-05
1,248.026657375536,1.42573188315373e-05
1,248.780407186633,1.42577223102744e-05
1,248.780407186632,1.42577223115122e-05
1,249.246250188904,1.42579715637901e-05
1,249.246250188904,1.42579715563812e-05
1,249.534156997729,1.42581255222917e-05
